,key stats,mar21,mar20,mar19,mar18,mar17,company,mar16,mar15,mar14,mar13,mar12
18,Return on Networth / Equity (%),8.91,9.81,12.97,13.29,18.56,ADANIPORTS.NS,21.85,19.49,21.60,26.17,22.55
19,Return on Capital Employed (%),9.79,8.35,13.25,14.70,13.29,ADANIPORTS.NS,12.03,10.17,10.59,11.48,11.33
20,Return on Assets (%),3.29,3.73,5.56,5.89,7.90,ADANIPORTS.NS,9.52,8.45,9.64,9.60,8.93
21,Total Debt/Equity (X),1.51,1.36,1.19,1.07,1.15,ADANIPORTS.NS,0.99,0.88,0.89,1.16,0.98
22,Asset Turnover Ratio (%),7.47,8.96,11.25,16.00,12.43,ADANIPORTS.NS,14.83,15.14,20.78,18.41,18.83
23,Liquidity Ratios,,,,,,ADANIPORTS.NS,,,,,
24,Current Ratio (X),1.56,1.59,1.51,3.56,1.82,ADANIPORTS.NS,0.91,1.38,2.56,1.58,0.37
25,Quick Ratio (X),1.55,1.58,1.43,3.44,1.73,ADANIPORTS.NS,0.89,1.34,2.48,1.55,0.35
26,Inventory Turnover Ratio (X),58.98,53.42,8.53,17.98,9.33,ADANIPORTS.NS,37.01,21.78,30.38,38.50,39.70
27,Dividend Payout Ratio (NP) (%),0.00,35.75,15.70,11.17,0.00,ADANIPORTS.NS,15.36,10.43,10.59,11.42,17.01
28,Dividend Payout Ratio (CP) (%),0.00,27.80,13.30,9.35,0.00,ADANIPORTS.NS,13.07,8.52,8.64,9.55,13.80
29,Earnings Retention Ratio (%),0.00,64.25,84.30,88.83,0.00,ADANIPORTS.NS,84.64,89.57,89.41,88.58,82.99
30,Cash Earnings Retention Ratio (%),0.00,72.20,86.70,90.65,0.00,ADANIPORTS.NS,86.93,91.48,91.36,90.45,86.20
31,Valuation Ratios,,,,,,ADANIPORTS.NS,,,,,
32,Enterprise Value (Cr.),172000.61,73453.58,98703.37,91728.08,88176.81,ADANIPORTS.NS,63740.67,73078.86,46683.19,35005.71,30458.40
33,EV/Net Operating Revenue (X),39.30,15.82,18.50,14.04,18.07,ADANIPORTS.NS,13.80,18.69,10.74,10.42,12.27
34,EV/EBITDA (X),29.37,16.94,17.37,15.15,17.52,ADANIPORTS.NS,14.01,21.84,13.65,13.09,17.39
35,MarketCap/Net Operating Revenue (X),32.62,11.00,14.67,11.24,14.42,ADANIPORTS.NS,11.11,16.31,8.93,8.27,10.42
36,Retention Ratios (%),0.00,64.24,84.29,88.82,0.00,ADANIPORTS.NS,84.63,89.56,89.40,88.57,82.98
37,Price/BV (X),6.60,2.59,3.85,4.05,4.21,ADANIPORTS.NS,3.78,5.69,4.16,4.15,4.95
38,Price/Net Operating Revenue,32.62,11.00,14.67,11.24,14.42,ADANIPORTS.NS,11.11,16.31,8.93,8.27,10.42
39,Earnings Yield,0.01,0.04,0.03,0.03,0.04,ADANIPORTS.NS,0.06,0.03,0.05,0.06,0.05
40,Key Financial Ratios of Asian Paints (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,ASIANPAINT.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
41,Per Share Ratios,,,,,,ASIANPAINT.NS,,,,,
42,Basic EPS (Rs.),31.82,27.67,22.23,19.75,18.78,ASIANPAINT.NS,16.65,13.84,12.19,109.47,99.92
43,Diluted EPS (Rs.),31.82,27.67,22.23,19.75,18.78,ASIANPAINT.NS,16.65,13.84,12.19,109.47,99.92
44,Cash EPS (Rs.),39.09,34.86,27.87,23.00,21.86,ASIANPAINT.NS,19.14,16.16,14.40,122.70,110.29
45,Book Value [ExclRevalReserve]/Share (Rs.),126.05,98.55,92.19,81.30,73.97,ASIANPAINT.NS,51.74,44.10,37.54,315.08,259.36
46,Book Value [InclRevalReserve]/Share (Rs.),126.05,98.55,92.19,81.30,73.97,ASIANPAINT.NS,51.74,44.10,37.54,315.08,259.36
47,Dividend / Share(Rs.),17.85,12.00,10.50,8.70,10.30,ASIANPAINT.NS,7.50,6.10,5.30,46.00,40.00
48,Revenue from Operations/Share (Rs.),193.04,179.25,170.89,147.70,131.85,ASIANPAINT.NS,131.84,121.44,108.62,935.33,830.29
49,PBDIT/Share (Rs.),50.66,43.94,39.51,33.34,30.97,ASIANPAINT.NS,28.20,22.91,20.34,174.46,155.68
50,PBIT/Share (Rs.),43.39,36.75,33.87,30.10,27.89,ASIANPAINT.NS,25.71,20.58,18.13,161.22,145.30
51,PBT/Share (Rs.),42.64,35.58,33.05,29.88,27.70,ASIANPAINT.NS,24.79,20.16,17.75,158.04,142.09
52,Net Profit/Share (Rs.),31.82,27.67,22.23,19.75,18.78,ASIANPAINT.NS,16.65,13.84,12.19,109.47,99.92
53,Profitability Ratios,,,,,,ASIANPAINT.NS,,,,,
54,PBDIT Margin (%),26.24,24.51,23.11,22.57,23.49,ASIANPAINT.NS,21.38,18.86,18.72,18.65,18.74
55,PBIT Margin (%),22.47,20.49,19.81,20.37,21.15,ASIANPAINT.NS,19.50,16.94,16.68,17.23,17.50
56,PBT Margin (%),22.09,19.85,19.34,20.22,21.00,ASIANPAINT.NS,18.80,16.59,16.34,16.89,17.11
57,Net Profit Margin (%),16.48,15.43,13.00,13.37,14.24,ASIANPAINT.NS,12.63,11.39,11.22,11.70,12.03
58,Return on Networth / Equity (%),25.24,28.07,24.11,24.29,25.39,ASIANPAINT.NS,32.18,31.37,32.46,34.74,38.52
59,Return on Capital Employed (%),31.99,33.91,33.01,35.25,35.75,ASIANPAINT.NS,30.14,29.39,29.99,31.91,35.62
60,Return on Assets (%),17.36,19.53,15.58,16.35,17.39,ASIANPAINT.NS,19.09,18.25,17.49,18.58,19.24
61,Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.01,ASIANPAINT.NS,0.01,0.01,0.01,0.02,0.07
62,Asset Turnover Ratio (%),105.31,126.54,119.79,122.26,122.09,ASIANPAINT.NS,151.19,160.16,155.92,158.83,159.92
63,Liquidity Ratios,,,,,,ASIANPAINT.NS,,,,,
64,Current Ratio (X),2.18,1.82,1.58,1.62,1.89,ASIANPAINT.NS,1.47,1.51,1.43,1.29,1.21
65,Quick Ratio (X),1.49,0.94,0.90,0.98,1.13,ASIANPAINT.NS,0.94,0.86,0.83,0.66,0.66
66,Inventory Turnover Ratio (X),5.93,6.08,6.34,6.50,5.76,ASIANPAINT.NS,7.85,6.46,6.26,6.06,6.30
67,Dividend Payout Ratio (NP) (%),10.52,65.59,40.03,52.14,42.32,ASIANPAINT.NS,45.03,44.08,43.48,42.02,40.03
68,Dividend Payout Ratio (CP) (%),8.56,52.06,31.93,44.78,36.36,ASIANPAINT.NS,39.18,37.73,36.80,37.48,36.26
69,Earnings Retention Ratio (%),89.48,34.41,59.97,47.86,57.68,ASIANPAINT.NS,54.97,55.92,56.52,57.98,59.97
70,Cash Earnings Retention Ratio (%),91.44,47.94,68.07,55.22,63.64,ASIANPAINT.NS,60.82,62.27,63.20,62.52,63.74
71,Valuation Ratios,,,,,,ASIANPAINT.NS,,,,,
72,Enterprise Value (Cr.),243204.46,159512.30,142950.77,107386.57,102580.78,ASIANPAINT.NS,83202.23,77545.58,51714.43,46618.82,30718.68
73,EV/Net Operating Revenue (X),13.13,9.28,8.72,7.58,8.11,ASIANPAINT.NS,6.58,6.66,4.96,5.20,3.86
74,EV/EBITDA (X),50.05,37.85,37.72,33.58,34.53,ASIANPAINT.NS,30.76,35.29,26.51,27.86,20.57
75,MarketCap/Net Operating Revenue (X),13.14,9.30,8.73,7.59,8.12,ASIANPAINT.NS,6.59,6.66,5.03,5.25,3.90
76,Retention Ratios (%),89.47,34.40,59.96,47.85,57.67,ASIANPAINT.NS,54.96,55.91,56.51,57.97,59.96
77,Price/BV (X),20.12,16.91,16.18,13.79,14.48,ASIANPAINT.NS,16.79,18.34,14.56,15.60,12.48
78,Price/Net Operating Revenue,13.14,9.30,8.73,7.59,8.12,ASIANPAINT.NS,6.59,6.66,5.03,5.25,3.90
79,Earnings Yield,0.01,0.02,0.01,0.02,0.02,ASIANPAINT.NS,0.02,0.02,0.02,0.02,0.03
80,Key Financial Ratios of Axis Bank (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,AXISBANK.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
81,Per Share Ratios,,,,,,AXISBANK.NS,,,,,
82,Basic EPS (Rs.),22.15,5.99,18.20,1.13,15.40,AXISBANK.NS,34.59,31.18,132.56,119.67,102.94
83,Diluted EPS (Rs.),22.09,5.97,18.09,1.12,15.34,AXISBANK.NS,34.40,30.85,132.23,118.85,102.20
84,Cash EPS (Rs.),24.60,8.51,20.95,3.29,17.49,AXISBANK.NS,36.38,32.75,140.08,118.20,110.95
85,Book Value [Excl. Reval Reserve]/Share (Rs.),331.63,301.05,259.27,247.20,232.83,AXISBANK.NS,223.12,188.47,813.47,707.50,551.99
86,Book Value [Incl. Reval Reserve]/Share (Rs.),331.63,301.05,259.27,247.20,232.83,AXISBANK.NS,223.12,188.47,813.47,707.50,551.99
87,Dividend/Share (Rs.),0.00,0.00,1.00,0.00,5.00,AXISBANK.NS,5.00,4.60,20.00,18.00,16.00
88,Operating Revenue / Share (Rs.),207.74,221.98,213.82,178.37,185.98,AXISBANK.NS,172.01,149.67,652.16,580.88,532.30
89,Net Profit/Share (Rs.),21.50,5.77,18.19,1.07,15.36,AXISBANK.NS,34.51,31.04,132.33,110.68,102.67
90,Per Employee Ratios,,,,,,AXISBANK.NS,,,,,
91,Interest Income/ Employee (Rs.),8127663.04,8448227.33,8877263.59,7679456.55,7867276.24,AXISBANK.NS,8175533.34,8401278.17,7223280.39,7171993.98,6930067.24
92,Net Profit/ Employee (Rs.),841368.03,219478.74,755022.33,46244.39,649854.14,AXISBANK.NS,1640303.74,1742321.17,1465739.42,1366568.93,1336632.87
93,Business/ Employee (Rs.),169975387.64,163410991.87,168432242.98,149842826.65,139083338.45,AXISBANK.NS,138973029.46,142913797.44,120464715.54,118619441.57,122838188.26
94,Per Branch Ratios,,,,,,AXISBANK.NS,,,,,
95,Interest Income/ Branch (Rs.),138540032.65,138328527.83,135767335.06,123630332.97,134812826.57,AXISBANK.NS,141143376.03,137035912.32,127565176.52,139612606.06,135602018.50
96,Net Profit/ Branches (Rs.),14341533.74,3593673.59,11547180.99,744480.96,11135832.93,AXISBANK.NS,28318398.07,28419553.11,25885373.02,26602120.70,26154164.00
97,Business/ Branches (Rs.),2897314471.05,2675638457.82,2575973612.35,2412295508.51,2383317606.84,AXISBANK.NS,2399246842.98,2331112269.60,2127440979.60,2309088574.73,2403599518.50
98,Key Performance Ratios,,,,,,AXISBANK.NS,,,,,
99,ROCE (%),2.70,2.68,2.47,2.34,3.05,AXISBANK.NS,3.15,2.99,3.10,2.82,2.68
100,CASA (%),44.92,41.19,44.37,53.75,51.41,AXISBANK.NS,47.33,44.78,45.01,44.37,41.53
101,Net Profit Margin (%),10.35,2.59,8.50,0.60,8.26,AXISBANK.NS,20.06,20.73,20.29,19.05,19.28
102,Operating Profit Margin (%),-12.96,-22.20,-15.37,-23.35,-17.98,AXISBANK.NS,-2.80,-2.83,-3.87,-5.04,-5.35
103,Return on Assets (%),0.66,0.17,0.58,0.03,0.61,AXISBANK.NS,1.56,1.59,1.62,1.52,1.48
104,Return on Equity / Networth (%),6.48,1.91,7.01,0.43,6.59,AXISBANK.NS,15.46,16.46,16.26,15.64,18.59
105,Net Interest Margin (X),2.93,2.75,2.71,2.69,3.00,AXISBANK.NS,3.20,3.07,3.11,2.83,2.80
106,Cost to Income (%),47.76,50.03,44.28,51.64,46.42,AXISBANK.NS,35.70,34.74,34.53,32.72,33.54
107,Interest Income/Total Assets (%),6.38,6.84,6.86,6.62,7.40,AXISBANK.NS,7.80,7.68,7.99,7.98,7.70
108,Non-Interest Income/Total Assets (%),1.48,1.69,1.63,1.58,1.94,AXISBANK.NS,1.78,1.81,1.93,1.92,1.89
109,Operating Profit/Total Assets (%),-0.82,-1.51,-1.05,-1.54,-1.33,AXISBANK.NS,-0.21,-0.21,-0.30,-0.40,-0.41
110,Operating Expenses/Total Assets (%),1.84,1.89,1.97,2.02,2.02,AXISBANK.NS,1.92,1.99,2.06,2.03,2.10
111,Interest Expenses/Total Assets (%),3.45,4.08,4.15,3.92,4.39,AXISBANK.NS,4.59,4.60,4.87,5.14,4.89
112,Valuation Ratios,,,,,,AXISBANK.NS,,,,,
113,Enterprise Value (Rs. Cr),1012067.14,810126.08,865733.45,696897.31,606100.09,AXISBANK.NS,540761.59,515225.42,382812.64,342665.18,290822.09
114,EV Per Net Sales (X),15.90,12.93,15.74,15.22,13.61,AXISBANK.NS,13.19,14.52,12.49,12.61,13.22
115,Price To Book Value (X),2.10,1.26,2.99,2.06,2.11,AXISBANK.NS,1.99,2.97,1.80,1.84,2.08
116,Price To Sales (X),3.36,1.71,3.63,2.86,2.64,AXISBANK.NS,2.58,3.74,2.24,2.24,2.15
117,Retention Ratios (%),100.00,100.00,100.00,-409.74,61.74,AXISBANK.NS,85.51,85.21,84.88,83.70,84.48
118,Earnings Yield (X),0.03,0.02,0.02,0.00,0.03,AXISBANK.NS,0.08,0.06,0.09,0.09,0.09
119,Key Financial Ratios of Bajaj Auto (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BAJAJ-AUTO.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
120,Per Share Ratios,,,,,,BAJAJ-AUTO.NS,,,,,
121,Basic EPS (Rs.),157.50,176.30,161.60,140.60,132.30,BAJAJ-AUTO.NS,135.80,97.20,112.10,105.20,103.80
122,Diluted EPS (Rs.),157.50,176.30,161.60,140.60,132.30,BAJAJ-AUTO.NS,135.80,97.20,112.10,105.20,103.80
123,Cash EPS (Rs.),166.36,184.76,170.75,151.46,142.89,BAJAJ-AUTO.NS,146.42,106.48,118.29,110.85,108.85
124,Book Value [ExclRevalReserve]/Share (Rs.),870.94,688.58,752.67,660.19,588.66,BAJAJ-AUTO.NS,458.46,369.50,332.03,273.07,208.77
125,Book Value [InclRevalReserve]/Share (Rs.),870.94,688.58,752.67,660.19,588.66,BAJAJ-AUTO.NS,458.46,369.50,332.03,273.07,208.77
126,Dividend / Share(Rs.),140.00,120.00,60.00,60.00,55.00,BAJAJ-AUTO.NS,55.00,50.00,50.00,45.00,45.00
127,Revenue from Operations/Share (Rs.),958.67,1033.92,1045.37,869.65,752.21,BAJAJ-AUTO.NS,780.54,746.86,696.32,691.06,674.88
128,PBDIT/Share (Rs.),214.43,236.02,229.16,211.86,195.06,BAJAJ-AUTO.NS,202.35,162.39,166.30,153.12,149.57
129,PBIT/Share (Rs.),205.47,227.51,219.98,200.98,184.44,BAJAJ-AUTO.NS,191.74,153.15,160.09,147.45,144.54
130,PBT/Share (Rs.),205.24,227.40,231.65,199.83,184.39,BAJAJ-AUTO.NS,191.70,141.16,160.07,147.43,139.14
131,Net Profit/Share (Rs.),157.40,176.24,161.56,140.58,132.27,BAJAJ-AUTO.NS,135.80,97.24,112.08,105.18,103.81
132,Profitability Ratios,,,,,,BAJAJ-AUTO.NS,,,,,
133,PBDIT Margin (%),22.36,22.82,21.92,24.36,25.93,BAJAJ-AUTO.NS,25.92,21.74,23.88,22.15,22.16
134,PBIT Margin (%),21.43,22.00,21.04,23.11,24.51,BAJAJ-AUTO.NS,24.56,20.50,22.99,21.33,21.41
135,PBT Margin (%),21.40,21.99,22.15,22.97,24.51,BAJAJ-AUTO.NS,24.56,18.90,22.98,21.33,20.61
136,Net Profit Margin (%),16.41,17.04,15.45,16.16,17.58,BAJAJ-AUTO.NS,17.39,13.01,16.09,15.21,15.38
137,Return on Networth / Equity (%),18.07,25.59,21.46,21.29,22.46,BAJAJ-AUTO.NS,29.62,26.31,33.75,38.51,49.72
138,Return on Capital Employed (%),22.96,32.08,28.28,29.50,30.32,BAJAJ-AUTO.NS,28.67,25.38,32.37,36.47,46.53
139,Return on Assets (%),14.44,20.58,17.07,17.07,18.38,BAJAJ-AUTO.NS,23.83,18.08,21.99,24.39,27.10
140,Total Debt/Equity (X),0.00,0.00,0.00,0.01,0.01,BAJAJ-AUTO.NS,0.00,0.01,0.01,0.01,0.02
141,Asset Turnover Ratio (%),87.98,120.76,110.48,105.64,104.57,BAJAJ-AUTO.NS,137.00,138.87,136.62,160.25,176.23
142,Liquidity Ratios,,,,,,BAJAJ-AUTO.NS,,,,,
143,Current Ratio (X),2.51,1.55,1.45,2.25,2.92,BAJAJ-AUTO.NS,1.70,2.13,1.19,1.50,1.12
144,Quick Ratio (X),2.25,1.30,1.25,2.07,2.70,BAJAJ-AUTO.NS,1.44,1.95,1.05,1.35,0.98
145,Inventory Turnover Ratio (X),18.57,28.13,31.46,33.89,29.88,BAJAJ-AUTO.NS,31.41,26.55,31.50,31.43,28.78
146,Dividend Payout Ratio (NP) (%),0.00,102.12,37.13,39.12,3.77,BAJAJ-AUTO.NS,73.63,51.42,44.60,42.78,43.34
147,Dividend Payout Ratio (CP) (%),0.00,97.42,35.13,36.31,3.49,BAJAJ-AUTO.NS,68.29,46.95,42.26,40.59,41.34
148,Earnings Retention Ratio (%),0.00,-2.12,62.87,60.88,96.23,BAJAJ-AUTO.NS,26.37,48.58,55.40,57.22,56.66
149,Cash Earnings Retention Ratio (%),0.00,2.58,64.87,63.69,96.51,BAJAJ-AUTO.NS,31.71,53.05,57.74,59.41,58.66
150,Valuation Ratios,,,,,,BAJAJ-AUTO.NS,,,,,
151,Enterprise Value (Cr.),105720.62,58286.26,83429.99,78887.69,81066.85,BAJAJ-AUTO.NS,68765.80,57901.68,59702.03,51451.43,46997.04
152,EV/Net Operating Revenue (X),3.81,1.95,2.76,3.13,3.72,BAJAJ-AUTO.NS,3.04,2.68,2.96,2.57,2.41
153,EV/EBITDA (X),17.04,8.53,12.58,12.87,14.36,BAJAJ-AUTO.NS,11.74,12.32,12.41,11.61,10.86
154,MarketCap/Net Operating Revenue (X),3.83,1.96,2.79,3.16,3.73,BAJAJ-AUTO.NS,3.08,2.70,2.98,2.60,2.49
155,Retention Ratios (%),0.00,-2.12,62.86,60.87,96.22,BAJAJ-AUTO.NS,26.36,48.57,55.39,57.21,56.65
156,Price/BV (X),4.22,2.94,3.87,4.16,4.77,BAJAJ-AUTO.NS,5.25,5.46,6.26,6.57,8.04
157,Price/Net Operating Revenue,3.83,1.96,2.79,3.16,3.73,BAJAJ-AUTO.NS,3.08,2.70,2.98,2.60,2.49
158,Earnings Yield,0.04,0.09,0.06,0.05,0.05,BAJAJ-AUTO.NS,0.06,0.05,0.05,0.06,0.06
159,Key Financial Ratios of Bajaj Finance (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BAJFINANCE.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
160,Per Share Ratios,,,,,,BAJFINANCE.NS,,,,,
161,Basic EPS (Rs.),65.85,83.25,67.52,47.05,34.01,BAJFINANCE.NS,242.30,179.94,144.79,135.69,110.84
162,Diluted EPS (Rs.),65.33,82.60,66.95,46.57,33.67,BAJFINANCE.NS,238.83,177.70,143.65,134.74,110.29
163,Cash EPS (Rs.),70.77,85.87,69.82,47.79,34.89,BAJFINANCE.NS,249.27,186.69,150.39,121.83,101.21
164,Book Value [ExclRevalReserve]/Share (Rs.),597.39,530.26,339.15,287.20,175.56,BAJFINANCE.NS,1386.86,959.94,802.18,676.38,492.15
165,Book Value [InclRevalReserve]/Share (Rs.),597.39,530.26,339.15,287.20,175.56,BAJFINANCE.NS,1386.86,959.94,802.18,676.38,492.15
166,Dividend / Share(Rs.),10.00,10.00,6.00,4.00,3.60,BAJFINANCE.NS,25.00,18.00,16.00,15.00,12.00
167,Revenue from Operations/Share (Rs.),391.16,397.08,301.40,231.03,182.19,BAJFINANCE.NS,1364.02,1076.36,810.54,621.48,523.48
168,PBDIT/Share (Rs.),217.94,248.96,209.96,152.01,122.37,BAJFINANCE.NS,923.95,728.17,541.43,420.33,329.18
169,PBIT/Share (Rs.),212.92,244.45,207.58,150.24,121.07,BAJFINANCE.NS,913.43,721.05,535.56,417.29,326.33
170,PBT/Share (Rs.),89.14,113.48,104.63,70.53,51.52,BAJFINANCE.NS,366.87,271.39,219.33,175.09,145.75
171,Net Profit/Share (Rs.),65.75,81.36,67.44,46.02,33.58,BAJFINANCE.NS,238.75,179.57,144.52,118.78,98.36
172,Profitability Ratios,,,,,,BAJFINANCE.NS,,,,,
173,PBDIT Margin (%),55.71,62.69,69.66,65.79,67.16,BAJFINANCE.NS,67.73,67.65,66.79,67.63,62.88
174,PBIT Margin (%),54.43,61.56,68.87,65.03,66.45,BAJFINANCE.NS,66.96,66.98,66.07,67.14,62.33
175,PBT Margin (%),22.78,28.57,34.71,30.52,28.27,BAJFINANCE.NS,26.89,25.21,27.05,28.17,27.84
176,Net Profit Margin (%),16.80,20.48,22.37,19.91,18.43,BAJFINANCE.NS,17.50,16.68,17.83,19.11,18.79
177,Return on Networth / Equity (%),11.00,15.34,19.88,16.02,19.13,BAJFINANCE.NS,17.21,18.70,18.01,17.56,19.98
178,Return on Capital Employed (%),11.69,14.72,11.26,14.09,14.95,BAJFINANCE.NS,3.82,3.84,4.89,5.38,4.78
179,Return on Assets (%),2.85,3.53,3.58,3.16,2.88,BAJFINANCE.NS,2.75,2.73,2.92,3.31,3.14
180,Total Debt/Equity (X),2.78,3.28,4.41,3.25,4.38,BAJFINANCE.NS,4.99,4.71,4.00,2.85,4.53
181,Asset Turnover Ratio (%),17.01,17.26,16.02,15.88,15.63,BAJFINANCE.NS,15.72,16.40,16.38,17.35,16.73
182,Liquidity Ratios,,,,,,BAJFINANCE.NS,,,,,
183,Current Ratio (X),4.71,3.53,49.12,1.64,1.53,BAJFINANCE.NS,1.57,1.48,1.04,1.16,1.37
184,Quick Ratio (X),4.71,3.53,49.12,1.64,1.53,BAJFINANCE.NS,1.57,1.48,1.04,1.16,1.37
185,Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,BAJFINANCE.NS,0.00,0.00,0.00,0.00,0.00
186,Dividend Payout Ratio (NP) (%),0.00,23.38,5.94,7.47,0.00,BAJFINANCE.NS,10.99,10.05,11.15,12.62,12.19
187,Dividend Payout Ratio (CP) (%),0.00,22.15,5.73,7.20,0.00,BAJFINANCE.NS,10.53,9.67,10.72,12.31,11.85
188,Earnings Retention Ratio (%),0.00,76.62,94.06,92.53,0.00,BAJFINANCE.NS,89.01,89.95,88.85,87.38,87.81
189,Cash Earnings Retention Ratio (%),0.00,77.85,94.27,92.80,0.00,BAJFINANCE.NS,89.47,90.33,89.28,87.69,88.15
190,Valuation Ratios,,,,,,BAJFINANCE.NS,,,,,
191,Enterprise Value (Cr.),408237.90,236478.55,260598.50,155297.64,105918.24,BAJFINANCE.NS,72801.42,42849.11,24079.23,14913.17,12512.65
192,EV/Net Operating Revenue (X),17.35,9.93,14.99,11.69,10.63,BAJFINANCE.NS,9.97,7.96,5.97,4.82,5.78
193,EV/EBITDA (X),31.14,15.83,21.52,17.76,15.83,BAJFINANCE.NS,14.71,11.77,8.94,7.13,9.20
194,MarketCap/Net Operating Revenue (X),13.16,5.58,10.04,7.66,6.44,BAJFINANCE.NS,5.08,3.81,2.21,1.86,1.56
195,Retention Ratios (%),0.00,76.61,94.05,92.52,0.00,BAJFINANCE.NS,89.00,89.94,88.84,87.37,87.80
196,Price/BV (X),8.62,4.18,8.92,6.16,6.69,BAJFINANCE.NS,5.00,4.27,2.23,1.71,1.66
197,Price/Net Operating Revenue,13.16,5.58,10.04,7.66,6.44,BAJFINANCE.NS,5.08,3.81,2.21,1.86,1.56
198,Earnings Yield,0.01,0.04,0.02,0.03,0.03,BAJFINANCE.NS,0.03,0.04,0.08,0.10,0.12
199,Key Financial Ratios of Bajaj Finserv (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,Mar 17,BAJAJFINSV.NS,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
200,Per Share Ratios,,,,,,BAJAJFINSV.NS,,,,,
201,Basic EPS (Rs.),11.20,41.90,19.30,8.90,4.40,BAJAJFINSV.NS,10.30,7.90,5.20,3.30,5.30
202,Diluted EPS (Rs.),11.20,41.90,19.30,8.90,4.40,BAJAJFINSV.NS,10.30,7.90,5.20,3.30,5.30
203,Cash EPS (Rs.),11.53,42.09,19.40,8.98,4.49,BAJAJFINSV.NS,10.34,8.07,5.32,3.28,5.40
204,Book Value [ExclRevalReserve]/Share (Rs.),238.84,222.16,198.62,180.96,173.81,BAJAJFINSV.NS,169.41,160.90,154.79,151.30,99.88
205,Book Value [InclRevalReserve]/Share (Rs.),238.84,222.16,198.62,180.96,173.81,BAJAJFINSV.NS,169.41,160.90,154.79,151.30,99.88
206,Dividend / Share(Rs.),3.00,5.00,2.50,1.75,1.75,BAJAJFINSV.NS,1.75,1.75,1.75,1.50,1.50
207,Revenue from Operations/Share (Rs.),20.34,49.00,26.58,15.20,9.67,BAJAJFINSV.NS,15.23,12.58,9.08,8.89,9.38
208,PBDIT/Share (Rs.),15.70,43.03,20.58,10.59,6.63,BAJAJFINSV.NS,12.33,10.10,6.71,6.75,7.55
209,PBIT/Share (Rs.),15.40,42.85,20.48,10.51,6.54,BAJAJFINSV.NS,12.24,9.94,6.63,6.67,7.44
